# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: sbreak.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00001400   ---        --------
               6   N   00001400   0000e101   00001404   x10_a0     00000000
               7   N   00001404   00004e01   00001406   ---        --------
               8   N   00001406   fffff297   00001408   x28_t3     00000000
               9   N   00001408   73828293   0000140c   x05_t0     00000408
              10   N   0000140c   30529073   00001410   x05_t0     00000b40
              11   N   00001410   00004505   00001414   ---        --------
              12   N   00001414   0000057e   00001416   x10_a0     00000001
              13   N   00001416   00054863   00001418   x10_a0     80000000
              14   N   00001418   0ff0000f   00001428   ---        --------
              17   N   00001428   00028f63   0000142c   x05_t0     00000000
              18   N   0000142c   10529073   0000144a   ---        --------
              22   N   0000144a   00006509   0000144e   ---        --------
              23   N   0000144e   00006509   0000144e   ---        --------
              24   N   0000144e   80050513   00001450   x10_a0     00002000
              25   N   00001450   30052073   00001454   x10_a0     00001800
              26   N   00001454   00000297   00001458   ---        --------
              27   N   00001458   00000297   00001458   ---        --------
              28   N   00001458   63428293   0000145c   x05_t0     00001458
              29   N   0000145c   34129073   00001460   x05_t0     00001a8c
              30   N   00001460   f1402573   00001464   ---        --------
              31   N   00001464   30200073   00001468   x10_a0     00000000
              33   N   00001468   00000000   00001a8c   ---        --------
              36   N   00001a8c   00009002   00001a8e   x28_t3     00000002
              37   E   00001a8e   0000a019   00000b40   mstatus    00001800
              37   E   00001a8e   0000a019   00000b40   mepc       00001a8e
              37   E   00001a8e   0000a019   00000b40   mcause     00000003
              37   E   00001a8e   0000a019   00000b40   mtval      00000000
              40   N   00000b40   000047a1   00000b44   x14_a4     00000003
              41   N   00000b44   04f70263   00000b46   x15_a5     00000008
              42   N   00000b46   000047a5   00000b4a   ---        --------
              43   N   00000b4a   02f70f63   00000b4c   x15_a5     00000009
              44   N   00000b4c   000047ad   00000b50   ---        --------
              45   N   00000b50   02f70c63   00000b52   x15_a5     0000000b
              46   N   00000b52   47ad0837   00000b56   ---        --------
              48   N   00000b56   02f71897   00000b5a   x16_a6     f0000000
              50   N   00000b5a   f0008893   00000b5e   x17_a7     00001b5a
              52   N   00000b5e   00008783   00000b62   x17_a7     00001a80
              55   N   00000b62   0000c791   00000b66   x15_a5     00000042
              56   N   00000b66   00f82023   00000b68   ---        --------
              58   N   00000b68   00000885   00000b6c   ---        --------
              59   N   00000b6c   ff5ff06f   00000b6e   x17_a7     00001a81
              60   N   00000b6e   08851717   00000b62   ---        --------
              65   N   00000b62   0000c791   00000b66   x15_a5     00000072
              66   N   00000b66   00f82023   00000b68   ---        --------
              68   N   00000b68   00000885   00000b6c   ---        --------
              69   N   00000b6c   ff5ff06f   00000b6e   x17_a7     00001a82
              70   N   00000b6e   08851717   00000b62   ---        --------
              75   N   00000b62   0000c791   00000b66   x15_a5     00000065
              76   N   00000b66   00f82023   00000b68   ---        --------
              78   N   00000b68   00000885   00000b6c   ---        --------
              79   N   00000b6c   ff5ff06f   00000b6e   x17_a7     00001a83
              80   N   00000b6e   08851717   00000b62   ---        --------
              85   N   00000b62   0000c791   00000b66   x15_a5     00000061
              86   N   00000b66   00f82023   00000b68   ---        --------
              88   N   00000b68   00000885   00000b6c   ---        --------
              89   N   00000b6c   ff5ff06f   00000b6e   x17_a7     00001a84
              90   N   00000b6e   08851717   00000b62   ---        --------
              95   N   00000b62   0000c791   00000b66   x15_a5     0000006b
              96   N   00000b66   00f82023   00000b68   ---        --------
              98   N   00000b68   00000885   00000b6c   ---        --------
              99   N   00000b6c   ff5ff06f   00000b6e   x17_a7     00001a85
             100   N   00000b6e   08851717   00000b62   ---        --------
             105   N   00000b62   0000c791   00000b66   x15_a5     00000020
             106   N   00000b66   00f82023   00000b68   ---        --------
             108   N   00000b68   00000885   00000b6c   ---        --------
             109   N   00000b6c   ff5ff06f   00000b6e   x17_a7     00001a86
             110   N   00000b6e   08851717   00000b62   ---        --------
             115   N   00000b62   0000c791   00000b66   x15_a5     00000070
             116   N   00000b66   00f82023   00000b68   ---        --------
